Delta Entropy,Mole Fraction of Li,Chemical potential,Mole fraction sub lattice 1,Mole fraction sub lattice 2,dq/de,Partial molar enthalpy,Entropy,Order parameter
0.0006041698111717741,0.00125,4.3,0.0015,0.001,0.027389668308237247,-4.119957396270811,0.0,0.0005
0.0005704380107585415,0.001375,4.29,0.00075,0.002,0.05564413096321998,-4.120009472793955,7.341298887064466e-08,0.00125
0.0005370273328709353,0.001875,4.28,0.0025,0.00125,0.06736956757089345,-4.1199658548044615,3.5027932477801386e-07,0.00125
0.0005040058966803717,0.0025,4.2700000000000005,0.00275,0.00225,0.10056278326049738,-4.11980624278925,6.756022090127974e-07,0.0005
0.00046952969460561,0.00425,4.260000000000001,0.0035,0.005,0.16912669041141576,-4.120080151007529,1.5274458513880317e-06,0.0015
0.000436680720471709,0.006625,4.250000000000001,0.0055,0.00775,0.27512461397907906,-4.119869145299432,2.6035707192923476e-06,0.0022500000000000003
0.00040246373902245785,0.007375,4.240000000000001,0.00825,0.0065,0.34875461881577524,-4.120065805771309,2.9182498916026602e-06,0.0017500000000000007
0.0003694883855309113,0.01,4.230000000000001,0.01025,0.00975,0.49938797741003504,-4.11989246111179,3.9314370550789575e-06,0.0005000000000000004
0.0003333760814231878,0.018625,4.2200000000000015,0.01675,0.0205,0.48683955549082003,-4.120653927735892,6.962540068818509e-06,0.00375
0.00029917012865720975,0.026,4.210000000000002,0.02675,0.02525,1.0578094464430823,-4.120847301660153,9.295054218489975e-06,0.0014999999999999979
0.0002645322486048083,0.041625,4.200000000000002,0.04225,0.041,1.6382534789588505,-4.121169389915769,1.369897904084949e-05,0.0012500000000000011
0.0002347627901772091,0.059375,4.190000000000002,0.06175,0.057,2.1097736844524513,-4.120040688527194,1.813022251003989e-05,0.004749999999999997
0.0001870477961595341,0.0785,4.180000000000002,0.07325,0.08375,2.74441766899071,-4.124259756744461,2.2163786241884998e-05,0.01050000000000001
0.0001632111030940223,0.115,4.170000000000003,0.11775,0.11225,3.3462872992591275,-4.121363091277984,2.85560111532624e-05,0.005499999999999991
0.00012768406821453917,0.148375,4.160000000000003,0.149,0.14775,4.284358355147879,-4.12195014767207,3.341032432447402e-05,0.0012500000000000011
9.044336045658598e-05,0.186125,4.150000000000003,0.18625,0.186,4.626979130533772,-4.12304787858394,3.752747954064151e-05,0.0002500000000000002
2.5539644709930706e-05,0.239,4.140000000000003,0.2545,0.2235,4.768603657667638,-4.132389185876444,4.059378023973129e-05,0.031
-1.9381436687652377e-05,0.297625,4.1300000000000034,0.22825,0.367,4.532662159162053,-4.135775668132924,4.0774292712384326e-05,0.13874999999999998
-0.00023108645198590845,0.35825,4.120000000000004,0.173,0.5435,24.034002717421796,-4.188863762691804,3.318198483696701e-05,0.3705
-0.00017738309962974034,0.433375,4.110000000000004,0.03125,0.8355,3.1691291204389747,-4.1628601636896665,1.78388473044042e-05,0.80425
-0.00016700756650027935,0.458875,4.100000000000004,0.021,0.89675,1.8136535559107603,-4.149768254817087,1.3447866311246455e-05,0.87575
-0.00016022621868138514,0.4785,4.090000000000004,0.01825,0.93875,1.223240337303627,-4.137747413167057,1.0236884794151372e-05,0.9205
-0.00020431166365574583,0.492875,4.0800000000000045,0.028,0.95775,1.0103015936255315,-4.140884875769417,7.6167687648532386e-06,0.92975
-3.863439647580829e-05,0.497125,4.070000000000005,0.032,0.96225,0.9895845616515286,-4.081513050149796,7.1005083870736885e-06,0.93025
0.00011073682968382889,0.50975,4.060000000000005,0.04875,0.97075,1.0527705690327371,-4.027000424754224,7.555654996699321e-06,0.922
0.0001353885113282697,0.517,4.050000000000005,0.05025,0.98375,0.8891184656926985,-4.009654223624181,8.447859357868175e-06,0.9335
0.00021372903194407446,0.53625,4.040000000000005,0.0915,0.981,1.4526399617246584,-3.976308748480671,1.1808115711864486e-05,0.8895
0.00017760072080110558,0.561125,4.030000000000006,0.14225,0.98,2.419042223398053,-3.977074985201276,1.667527951163266e-05,0.83775
0.00016462998022632482,0.59375,4.020000000000006,0.22675,0.96075,6.1413490041985,-3.970940265892561,2.2257917822142622e-05,0.734
9.343391356739023e-05,0.664125,4.010000000000006,0.3995,0.92875,8.545962802592907,-3.9821566937569237,3.133854108500897e-05,0.52925
-3.198578733882449e-05,0.758625,4.000000000000006,0.76025,0.757,4.221925140159225,-4.009531764626976,3.42419650493087e-05,0.003249999999999975
-8.16702835417793e-05,0.804375,3.9900000000000064,0.79975,0.809,4.496799010551697,-4.014337744495457,3.164208242791489e-05,0.009250000000000091
-0.00012269402312985484,0.842625,3.9800000000000066,0.846,0.83925,3.3959688636438967,-4.016562818892703,2.7733615062819886e-05,0.006749999999999923
-0.00015186839527785091,0.880125,3.970000000000007,0.88075,0.8795,3.438526380270677,-4.015256781792806,2.258556971767539e-05,0.0012500000000000844
-0.00019019190172643688,0.9085,3.960000000000007,0.90625,0.91075,2.71995249827591,-4.016677186714485,1.773258925392707e-05,0.0044999999999999485
-0.0002258647847957287,0.9385,3.9500000000000073,0.939,0.938,2.292852648091113,-4.017307705869134,1.1491738956094583e-05,0.0010000000000000009
-0.00025945294620181793,0.9595,3.9400000000000075,0.95575,0.96325,1.4420361895625442,-4.017316977968149,6.3959027806203385e-06,0.007500000000000062
-0.00029368870324014956,0.970375,3.9300000000000077,0.9735,0.96725,1.2526482301193316,-4.017519233565572,3.388195061779649e-06,0.006249999999999978
-0.00032568070671859197,0.9795,3.920000000000008,0.97775,0.98125,0.7915897940245196,-4.017052850602148,5.623221288428756e-07,0.0034999999999999476
-0.00036201312327386237,0.987375,3.910000000000008,0.986,0.98875,0.5301917747676971,-4.017879910735619,-2.145472326752402e-06,0.00275000000000003
-0.0003964241764095484,0.99,3.9000000000000083,0.99225,0.98775,0.41357691642287514,-4.018134404570054,-3.140921282586874e-06,0.0044999999999999485
-0.0004280222348371582,0.992125,3.8900000000000086,0.9925,0.99175,0.2318930497016078,-4.017550625981482,-4.016895594536518e-06,0.0007500000000000284
-0.000463438720214072,0.99525,3.8800000000000088,0.995,0.9955,0.15020506834977754,-4.018104738623802,-5.4098033368040355e-06,0.000500000000000056
